record_id,requirement_type,criterion_name,raw_text,value_numeric,value_text,unit,operator,measurement_window_value,measurement_window_unit,condition_group,condition_operator,status,source_document,source_page,source_section,notes
REQ-094,employment,,"* 뿌리산업체, 농림축산어업체, 일반제조업체, 건설업체 및 내항정기여객(화물) 운송사업체",,,,,,,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-095,employment,고용 가능 인원 - 내국인 1명~5명 이하,"❍ (고용 가능 인원) 내국인 고용인원 규모에 따라 차등적용
내국인* 고용인원 | 최대 고용 가능인원(E-7-4R)
1명~5명 이하 | 3명",3,,명,=,,,G25,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"REQ-095의 내국인 고용인원 구간표를 구간별로 분리함 (복합 조건 개별 행 분리 원칙) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-096,employment,,* 최저임금을 충족하는 3개월 이상 고용보험에 가입된 인원,3,,개월,>=,,,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-097,employment,,❍ (고용 가능 인원 산정 기준),,,,,,,G26,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-098,employment,,"- 고용 가능 인원 계산 값의 소수점 이하는 올림하며, 숙련기능인력(E-7-4)와 지역특화형 숙련기능인력(E-7-4R)은 합산하여 고용인원으로 산정하고 다른 체류자격의 외국인은 제외",,,,,,,G26,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-099,employment,,"- 건설업은 ‘시공능력평가액✕0.4(1억당 0.4명 고용, 소수점 이하는 올림)’ 내에서 고용 가능",,,,,,,G26,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-100,employment,,※ 시공능력평가액과 연평균 공사금액 중 업체에 유리한 기준 적용 가능,,,,,,,G26,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-101,employment,,"- (근속자 특례) 현재 비전문취업(E-9) 또는 선원취업(E-10) 외국인을 고용하고 있는 기업은 내국인 고용인원이 없더라도 현재 근무 중인 외국인(E-9, E-10)이 지역특화형 숙련기능인력(E-7-4R) 전환하는 경우, 인구감소관심지역은 1명*, 인구감소지역은 2명 허용",,,,,,,G26,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"employment로 확정 (핵심이 고용 허용인원이고 지역은 조건일 뿐) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-102,employment,,"* 단, 인구감소관심지역이더라도 뿌리산업, 농축어업은 2명 허용",,,,,,,,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-103,employment,E-7-4/E-7-4R 동시고용 특례 - 인구감소지역 소재 기업 또는 뿌리기업...,"- (E-7-4와 E-7-4R 동시 고용) 숙련기능인력(E-7-4)과 지역특화형 숙련기능인력(E-7-4R)을 동시에 고용하고 있는 기업은 본 지침의 '고용가능인원' 기준을 적용하되, 인구감소지역 소재 기업 또는 뿌리기업, 농림축산어업체에서 내국인 고용인원이 71명을 초과하는 경우 등 「숙련기능인력(E-7-4) 체류관리 지침」 적용이 사업장에게 더 유리한 경우 숙련기능인력(E-7-4) 허용인원 기준(내국인 고용인원의 50% 이내) 적용",71,,명,>,,,G32,OR,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"REQ-103의 '71명 초과'/'135명 이상' 두 조건을 개별 행으로 분리함 (원문에 '또는'으로 명시). 원문 끝에 다음 섹션 제목('나. 고용주 요건(법무부 조회사항)')이 붙어있어 제거함 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-104,conduct,,❍ 고용주가 출입국관리법 시행규칙 제17조의3제2항 각호에 해당하지 않을 것,,,,,,,G27,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,9,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"conduct로 확정 (출입국관리법 시행규칙 위반 결격사유) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-105,conduct,,※ 관할 출입국·외국인관서는 ｢외국인 불법고용주 등에 대한 사증발급인정서 발급 등 제한 세부 기준｣ 준용하여 고용주 요건 심사다. 제외 대상,,,,,,,G27,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,9,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"REQ-104와 같은 결격사유 심사 절차 설명 - conduct로 확정 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-106,conduct,,"❍ (적용) 고용업체에 세금(국세, 지방세) 체납 사실이 있는 경우 제외함",,,,,,,G28,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,9,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-107,conduct,,"❍ (특례) 신규 도입이 아닌 기존 근로자에 대한 조치이므로 시행일     이전 적발 불법고용 전력 등에 따른 고용제한 면제   -「외국인 불법고용주 등에 대한 사증발급인정서 발급 등 제한 기준」     (체류관리과-5726, ’23.7.26.)의 적용을 K-point E74 시행일(’23.9.25) 이전 적발     건에 한 해 한시적 면제(시행일 이후 적발 건은 기존대로 정상 적용)",,,,,,,G29,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,9,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-108,applicant_status,,❍ (체류기간) 최대 2년 1개월 범위 내에서 ‘근로계약기간 + 1개월’ 부여,,,,,,,G30,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,9,자격 요건 > 체류허가 사항,"applicant_status로 확정 (체류기간 산정 조건) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-109,residence,,❍ (허가조건) 체류자격을 받은 날로부터 3년 이상 추천지역(인구감소지역 또는 인구감소관심지역)에서 거주하면서 취업활동을 하고자 할 것,3,,년,>=,,,G31,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,9,자격 요건 > 체류허가 사항,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-110,residence,,"※ 단, 2년 이후 동일 광역자치단체 내 인구감소지역 시군으로 이주 가능",,,,,,,G31,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,9,자격 요건 > 체류허가 사항,"source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-111,employment,고용 가능 인원 - 내국인 6명 이상 50명 이하,"❍ (고용 가능 인원) 내국인 고용인원 규모에 따라 차등적용
내국인* 고용인원 | 최대 고용 가능인원(E-7-4R)
6명 이상 50명 이하 | 내국인 고용 인원의 50%",50,,%(내국인 고용인원 대비),=,,,G25,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"REQ-095의 내국인 고용인원 구간표를 구간별로 분리함 (복합 조건 개별 행 분리 원칙) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-112,employment,고용 가능 인원 - 내국인 51명 이상 100명 이하,"❍ (고용 가능 인원) 내국인 고용인원 규모에 따라 차등적용
내국인* 고용인원 | 최대 고용 가능인원(E-7-4R)
51명 이상 100명 이하 | 내국인 고용 인원의 50% 내 최대 35명",,내국인 고용 인원의 50% 내 최대 35명,,,,,G25,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"REQ-095의 내국인 고용인원 구간표를 구간별로 분리함 (복합 조건 개별 행 분리 원칙) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-113,employment,고용 가능 인원 - 내국인 101명 이상 150명 이하,"❍ (고용 가능 인원) 내국인 고용인원 규모에 따라 차등적용
내국인* 고용인원 | 최대 고용 가능인원(E-7-4R)
101명 이상 150명 이하 | 40명",40,,명,=,,,G25,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"REQ-095의 내국인 고용인원 구간표를 구간별로 분리함 (복합 조건 개별 행 분리 원칙) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-114,employment,고용 가능 인원 - 내국인 151명 이상,"❍ (고용 가능 인원) 내국인 고용인원 규모에 따라 차등적용
내국인* 고용인원 | 최대 고용 가능인원(E-7-4R)
151명 이상 | 50명",50,,명,=,,,G25,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"REQ-095의 내국인 고용인원 구간표를 구간별로 분리함 (복합 조건 개별 행 분리 원칙) / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-115,employment,E-7-4/E-7-4R 동시고용 특례 - 인구감소(관심)지역에서 내국인 고용인...,"- (E-7-4와 E-7-4R 동시 고용) 숙련기능인력(E-7-4)과 지역특화형 숙련기능인력(E-7-4R)을 동시에 고용하고 있는 기업은 본 지침의 '고용가능인원' 기준을 적용하되, 인구감소(관심)지역에서 내국인 고용인원이 135명 이상인 경우 등 「숙련기능인력(E-7-4) 체류관리 지침」 적용이 사업장에게 더 유리한 경우 숙련기능인력(E-7-4) 허용인원 기준(내국인 고용인원의 50% 이내) 적용",135,,명,>=,,,G32,OR,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,8,자격 요건 > 고용기업 및 고용주 요건가. 고용기업 요건,"REQ-103의 '71명 초과'/'135명 이상' 두 조건을 개별 행으로 분리함 (원문에 '또는'으로 명시). 원문 끝에 다음 섹션 제목('나. 고용주 요건(법무부 조회사항)')이 붙어있어 제거함 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-116,income,전환 후 계약 연봉(일반),"❍ 지역특화 숙련기능인력(E-7-4R)으로 자격변경이 되면 지급 예정 연봉이    2,600만원 이상이 되는 것으로 고용계약이 되어 있을 것",2600,,만원,>=,,,G33,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,5,자격 요건 > 점수제 심사,"원문상 '점수제 심사' 섹션 안에 있으나 점수표가 아니라 실제 계약 연봉 자격요건이라 current_requirements.csv에 포함함. 원문 끝의 '나. 한국어능력' 다음 섹션 제목 찌꺼기 제거함. / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
REQ-117,income,전환 후 계약 연봉(농축산업·어업·내항상선 예외),"❍ 지역특화 숙련기능인력(E-7-4R)으로 자격변경이 되면 지급 예정 연봉이 농·축산업, 어업·내항상선 종사자는 2,500만원 이상이 되는 것으로 고용계약이 되어 있을 것",2500,,만원,>=,,,G33,,present,충청북도 지역특화형 비자 사업 숙련기능인력(E74R) 공고(2026년 8차)_section0,5,자격 요건 > 점수제 심사,"REQ-116과 같은 조항의 농축산업/어업/내항상선 예외 케이스를 분리함 / source_page를 PDF 기준에서 HWPX 기준(+1)으로 정정함(HWPX 4페이지의 빈 박스 때문에 5페이지부터 PDF보다 한 페이지씩 밀림 - HWPX가 기준 문서, #7 결정)"
