group_id,visa_id,parent_group_id,group_key,group_name_kr,boolean_operator,applicability_note,display_order,valid_from,valid_to,source_document_id,source_page,last_verified_at
1bbf2cb4-4472-4e84-a8a4-0745fb138e42,a228433b-abe4-4785-8496-3e1cb3d597c1,0afbb8e2-fbc4-4d32-8fe7-8a9b2b603eb9,f2r_education_path,학력 경로,AND,,1,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,3,2026-08-25
586b8445-841c-4598-a6a0-33b20aeea137,a228433b-abe4-4785-8496-3e1cb3d597c1,1bbf2cb4-4472-4e84-a8a4-0745fb138e42,f2r_education_degree_status,학위 취득 또는 졸업예정 경로,OR,,1,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,3,2026-08-25
74dc9ccc-56eb-46e4-bc32-b8844fad38fb,a228433b-abe4-4785-8496-3e1cb3d597c1,586b8445-841c-4598-a6a0-33b20aeea137,f2r_education_expected_path,졸업예정 경로,AND,,2,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,3,2026-08-25
3eb3ecbc-bb99-40c7-8069-6ea64bccd4dd,a228433b-abe4-4785-8496-3e1cb3d597c1,0afbb8e2-fbc4-4d32-8fe7-8a9b2b603eb9,f2r_income_path,소득 경로,AND,,2,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,"3,4",2026-08-25
08a845d4-42d8-40bd-b181-bb4b54c914e5,a228433b-abe4-4785-8496-3e1cb3d597c1,e611b86e-16c8-4414-a252-083a3009090c,f2r_language,기본소양,OR,,30,2026-08-03,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,6,2026-08-15
ce22c6c4-d312-47be-b81d-26e005fd6faa,a228433b-abe4-4785-8496-3e1cb3d597c1,e611b86e-16c8-4414-a252-083a3009090c,f2r_residence,거주 요건,AND,,40,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,4,2026-08-15
c0933672-7820-4e5d-ac41-db14abe1164b,a228433b-abe4-4785-8496-3e1cb3d597c1,e611b86e-16c8-4414-a252-083a3009090c,f2r_economic_activity,취업 또는 창업,OR,,50,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,5,2026-08-25
5612ed33-a297-4cd7-93a0-69851c727996,a228433b-abe4-4785-8496-3e1cb3d597c1,c0933672-7820-4e5d-ac41-db14abe1164b,f2r_employment,취업 요건,AND,,51,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,5,2026-08-25
56e2fdb1-8fc0-4c61-82e7-ce411b49cf94,a228433b-abe4-4785-8496-3e1cb3d597c1,5612ed33-a297-4cd7-93a0-69851c727996,f2r_restricted_industries,취업 제한 분야,AND,열거된 업종에 취업하지 않아야 함,52,2025-03-07,2026-09-18,6fe08cb5-96dd-4784-b266-f72d517595fc,4,2026-08-25
a73c677a-9af6-46c1-86c8-4162c3022556,a228433b-abe4-4785-8496-3e1cb3d597c1,5612ed33-a297-4cd7-93a0-69851c727996,f2r_employer,고용주·고용기업 요건,AND,,53,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,6,2026-08-25
1664dbdf-dd8c-4b0b-b4fa-57081ebc9bac,a228433b-abe4-4785-8496-3e1cb3d597c1,a73c677a-9af6-46c1-86c8-4162c3022556,f2r_employment_capacity_paths,고용 허용인원 경로,OR,,1,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,6,2026-08-25
550e2cb0-bbd5-4210-9cca-1097b7e56c11,a228433b-abe4-4785-8496-3e1cb3d597c1,1664dbdf-dd8c-4b0b-b4fa-57081ebc9bac,f2r_standard_employment_capacity,일반 고용인원 기준,AND,,1,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,6,2026-08-25
f1106f3f-7fb1-478e-9c20-24dc1c0bfda2,a228433b-abe4-4785-8496-3e1cb3d597c1,1664dbdf-dd8c-4b0b-b4fa-57081ebc9bac,f2r_small_business_exception,지역활력 소상공인 고용특례,AND,내국인 고용인원이 없는 기업이 특례를 이용할 때만 적용,2,2026-05-18,2027-12-31,2c892d50-7de9-431f-95f7-c02c7b2a7d76,6,2026-08-25
245f646c-0b01-41dc-a507-9954f5837fa7,a228433b-abe4-4785-8496-3e1cb3d597c1,c0933672-7820-4e5d-ac41-db14abe1164b,f2r_entrepreneurship,창업 요건,AND,,55,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,5,2026-08-25
d35e8a1e-05c7-4830-82fc-7be28da2197b,a228433b-abe4-4785-8496-3e1cb3d597c1,e611b86e-16c8-4414-a252-083a3009090c,f2r_conduct,품행 요건,AND,,60,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,5,2026-08-15
e9d66743-9639-4f3b-92fc-1f20901f6a2d,a228433b-abe4-4785-8496-3e1cb3d597c1,e611b86e-16c8-4414-a252-083a3009090c,f2r_excluded_applicants,접수·추천 제한,AND,,65,2025-03-07,2026-09-18,2c892d50-7de9-431f-95f7-c02c7b2a7d76,8,2026-08-15
a9aaea4d-2528-41eb-8e03-b6199789bd26,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,,e74r_root,지역특화형 숙련기능인력(E-7-4R) 자격조건 전체,AND,,0,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,2,2026-08-25
3f6a4fcf-342c-4676-8882-0efe3d22bbeb,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,a9aaea4d-2528-41eb-8e03-b6199789bd26,e74r_applicant_status,신청자격(체류자격 요건),AND,일반 신청자격 또는 인구감소지역 특례 중 한 경로와 최근 5년 배제조건 미해당을 모두 충족해야 함.,0,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,2,2026-08-25
5b7df590-72e9-4771-9e57-c6eeb23204a0,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,3f6a4fcf-342c-4676-8882-0efe3d22bbeb,e74r_applicant_status_paths,신청자격 경로(일반/인구감소지역 특례),OR,,0,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,2,2026-08-25
79f1794b-dcf2-472d-b001-776ed4088ad2,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,5b7df590-72e9-4771-9e57-c6eeb23204a0,e74r_applicant_standard,일반 신청자격,AND,E-9/E-10/H-2 체류기간·현재 등록외국인 상태·현재 근무처 합법 근로를 각각 충족해야 함.,0,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,2,2026-08-25
f9eb5fd2-1825-4366-82d8-45c5b9cae00d,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,5b7df590-72e9-4771-9e57-c6eeb23204a0,e74r_population_decline_exception,인구감소지역 구직자 특례,AND,예정 근무처가 인구감소지역이고 구직 중인 신청자에게만 적용.,1,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,2,2026-08-25
3f8af0eb-ffd5-4b0e-8877-7f424fcd548d,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,f9eb5fd2-1825-4366-82d8-45c5b9cae00d,e74r_population_decline_status_paths,인구감소지역 특례 체류자격 경로,OR,E-9/E-10/H-2 현 체류자격 또는 직전 E-7-4/E-7-4R인 D-10 경로 중 하나.,0,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,2,2026-08-25
61a2a314-f99a-489b-95ff-30510b1fb76f,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,3f8af0eb-ffd5-4b0e-8877-7f424fcd548d,e74r_population_decline_d10_path,D-10 구직자 특례 경로,AND,D-10 현 체류자격과 직전 E-7-4/E-7-4R 체류자격을 모두 확인.,1,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,2,2026-08-25
8578f3eb-9793-489b-a46b-ab2e2a0e76e6,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,a9aaea4d-2528-41eb-8e03-b6199789bd26,e74r_conduct,품행 요건(결격사유 미해당),AND,원문이 열거한 6개 제외사유를 eligibility 관점의 미해당 조건으로 평가함.,1,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,2,2026-08-25
20fb04be-6cbd-4b40-9af3-09fc1265e50e,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,a9aaea4d-2528-41eb-8e03-b6199789bd26,e74r_employer,고용기업 및 고용주 요건,AND,,2,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,8,2026-08-25
134599d2-5738-4f11-b823-152291504734,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,20fb04be-6cbd-4b40-9af3-09fc1265e50e,e74r_employer_capacity,고용가능인원 산정(참고자료),AND,개별 신청자 pass/fail 게이트가 아니라 사업장 단위 고용가능인원을 계산하는 구간표·계산식 — 13개 행 전부 INFORMATIONAL. 구조는 원문 순서 그대로 보존.,1,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,8,2026-08-25
a2c9444a-7e94-45ab-9eb3-4873e12300f9,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,20fb04be-6cbd-4b40-9af3-09fc1265e50e,e74r_employer_compliance_paths,고용주 결격사유 충족 경로,OR,일반적인 결격사유 미해당 경로 또는 시행일 이전 적발 불법고용 한시면제 경로 중 하나를 충족.,2,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-25
ca7f7555-b3b9-4d78-bcf2-be09770746cf,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,a2c9444a-7e94-45ab-9eb3-4873e12300f9,e74r_employer_standard_compliance,고용주 일반 준수 경로,AND,출입국관리법 시행규칙 제17조의3제2항 각호의 결격사유가 없는 일반 경로.,0,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-25
cad28668-116b-4503-a506-b48359394abb,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,a2c9444a-7e94-45ab-9eb3-4873e12300f9,e74r_employer_pre_kpoint_exception,시행일 이전 적발 불법고용 한시면제 경로,AND,기존 근로자의 전환이고 K-point E74 시행일(2023-09-25) 이전 적발 불법고용 전력만 문제인 경우에 한해 적용.,1,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-25
5bbca1e1-2ab1-484a-be97-0d1b61219690,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,a9aaea4d-2528-41eb-8e03-b6199789bd26,e74r_visa_terms,체류허가 사항(승인 후 유지의무),AND,최초 신청 요건이 아니라 승인 후 체류조건 — F-4-R 허가조건(거주지 유지의무)과 동일 패턴으로 INFORMATIONAL.,3,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,9,2026-08-25
e58b9d69-8670-4013-8eb5-c3d044bbf464,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,a9aaea4d-2528-41eb-8e03-b6199789bd26,e74r_income,전환 후 계약연봉 적용 경로,OR,일반 업종 경로와 농·축산업·어업·내항상선 경로가 업종 조건을 포함해 서로 대체함.,4,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,5,2026-08-25
2981ee98-d912-49fe-a300-d0b61233b9eb,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,e58b9d69-8670-4013-8eb5-c3d044bbf464,e74r_income_general,일반 업종 계약연봉 경로,AND,농업·축산업·어업·내항상선 이외 업종에 적용.,0,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,5,2026-08-25
81b7cdeb-ec7b-4a50-adee-e5d9e58143bf,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,e58b9d69-8670-4013-8eb5-c3d044bbf464,e74r_income_industry_exception,농·축산업·어업·내항상선 계약연봉 경로,AND,농업·축산업·어업·내항상선 종사자에게만 적용.,1,2026-01-12,2026-09-18,d3c64f30-9c86-4459-93d5-bfbb02863e5c,5,2026-08-25
